question_ID,gold_label
0,2
1,1
2,1
3,0
4,2
5,1
6,2
7,2
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,1
16,2
17,2
18,2
19,0
20,1
21,1
22,2
23,1
24,2
25,1
26,2
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,2
35,2
36,2
37,0
38,1
39,2
40,1
41,2
42,2
43,1
44,2
45,1
46,1
47,2
48,2
49,2
50,0
51,2
52,2
53,2
54,1
55,2
56,2
57,2
58,0
59,0
60,2
61,2
62,2
63,1
64,2
65,2
66,2
67,2
68,1
69,2
70,1
71,2
72,1
73,2
74,2
75,0
76,2
77,1
78,0
79,2
80,2
81,1
82,0
83,1
84,1
85,2
86,2
87,1
88,2
89,2
90,1
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,2
99,1
100,0
101,2
102,1
103,2
104,2
105,1
106,1
107,2
108,1
109,2
110,2
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,2
128,2
129,2
130,1
131,2
132,1
133,2
134,2
135,2
136,2
137,0
138,1
139,2
140,2
141,2
142,0
143,1
144,0
145,2
146,1
147,1
148,0
149,1
150,1
151,2
152,0
153,1
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,1
162,0
163,2
164,1
165,2
166,1
167,1
168,2
169,0
170,0
171,0
172,1
173,2
174,2
175,2
176,0
177,2
178,2
179,0
180,0
181,2
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,2
191,1
192,2
193,1
194,1
195,2
196,2
197,1
198,2
199,1
200,1
201,2
202,1
203,2
204,0
205,0
206,2
207,2
208,2
209,2
210,1
211,0
212,1
213,2
214,2
215,2
216,1
217,2
218,1
219,2
220,1
221,2
222,1
223,2
224,2
225,2
226,1
227,1
228,2
229,1
230,1
231,1
232,2
233,2
234,1
235,1
236,2
237,0
238,1
239,2
240,1
241,2
242,2
243,0
244,2
245,1
246,0
247,2
248,1
249,2
250,2
251,1
252,2
253,1
254,2
255,2
256,1
257,1
258,2
259,2
260,1
261,1
262,1
263,1
264,1
265,0
266,2
267,1
268,1
269,1
270,2
271,1
272,2
273,2
274,2
275,1
276,2
277,1
278,2
279,1
280,2
281,0
282,1
283,2
284,0
285,2
286,1
287,1
288,0
289,2
290,2
291,1
292,2
293,2
294,2
295,0
296,2
297,1
298,1
299,2
300,2
301,1
302,2
303,1
304,1
305,1
306,0
307,1
308,2
309,0
310,2
311,0
312,2
313,1
314,1
315,2
316,1
317,2
318,2
319,2
320,2
321,1
322,2
323,2
324,0
325,2
326,2
327,2
328,1
329,2
330,2
331,2
332,2
333,2
334,0
335,2
336,1
337,1
338,1
339,2
340,2
341,2
342,1
343,2
344,0
345,2
346,2
347,2
348,1
349,1
350,2
351,2
352,1
353,1
354,2
355,2
356,2
357,0
358,1
359,1
360,2
361,1
362,1
363,1
364,1
365,2
366,0
367,1
368,1
369,2
370,2
371,2
372,2
373,1
374,1
375,2
376,1
377,1
378,2
379,1
380,2
381,2
382,2
383,1
384,1
385,0
386,1
387,2
388,2
389,2
390,1
391,0
392,2
393,2
394,2
395,0
396,1
397,1
398,2
399,2
400,2
401,0
402,2
403,1
404,0
405,1
406,2
407,1
408,2
409,2
410,2
411,1
412,2
413,2
414,1
415,2
416,2
417,1
418,2
419,1
420,2
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,1
434,2
435,2
436,2
437,2
438,1
439,0
440,1
441,2
442,2
443,1
444,2
445,2
446,2
447,2
448,2
449,2
450,1
451,1
452,1
453,1
454,1
455,2
456,2
457,0
458,2
459,2
460,2
461,2
462,1
463,2
464,2
465,2
466,2
467,2
468,2
469,1
470,1
471,2
472,2
473,2
474,0
475,1
476,1
477,2
478,0
479,2
480,2
481,2
482,2
483,2
484,2
485,1
486,2
487,2
488,2
489,2
490,2
491,0
492,1
493,2
494,2
495,1
496,2
497,2
498,2
499,0
500,1
501,2
502,2
503,2
504,2
505,2
506,2
507,1
508,2
509,1
510,1
511,0
512,1
513,1
514,2
515,2
516,0
517,0
518,1
519,0
520,2
521,2
522,2
523,0
524,1
525,2
526,0
527,2
528,2
529,1
530,2
531,2
532,2
533,2
534,0
535,2
536,2
537,2
538,0
539,2
540,2
541,1
542,1
543,1
544,0
545,0
546,0
547,2
548,2
549,2
550,2
551,0
552,2
553,2
554,1
555,0
556,2
557,2
558,2
559,1
560,2
561,2
562,1
563,1
564,1
565,2
566,0
567,2
568,2
569,2
570,2
571,0
572,2
573,2
574,2
575,1
576,2
577,1
578,2
579,1
580,2
581,2
582,2
583,1
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,1
592,2
593,1
594,1
595,1
596,1
597,2
598,1
599,1
600,1
601,2
602,2
603,2
604,2
605,0
606,2
607,2
608,2
609,2
610,1
611,1
612,2
613,2
614,2
615,0
616,1
617,1
618,2
619,1
620,1
621,2
622,2
623,2
624,1
625,2
626,0
627,1
628,1
629,1
630,1
631,0
632,2
633,1
634,1
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,1
647,1
648,2
649,0
650,2
651,1
652,1
653,1
654,2
655,0
656,1
657,2
658,1
659,2
660,0
661,2
662,1
663,1
664,1
665,2
666,1
667,2
668,2
669,1
670,1
671,2
672,1
673,1
674,1
675,2
676,2
677,2
678,1
679,1
680,2
681,2
682,2
683,2
684,0
685,0
686,1
687,2
688,0
689,2
690,2
691,2
692,1
693,2
694,2
695,2
696,2
697,1
698,1
699,1
700,2
701,2
702,1
703,1
704,1
705,1
706,2
707,2
708,2
709,0
710,1
711,2
712,2
713,2
714,2
715,2
716,2
717,1
718,1
719,1
720,2
721,1
722,2
723,1
724,1
725,0
726,2
727,2
728,2
729,2
